Date,HDFCBANK.NS,ICICIBANK.NS
2020-11-19,650.8753662109375,463.0410461425781
2020-11-20,664.7515258789062,464.4434814453125
2020-11-23,660.4655151367188,452.8855895996094
2020-11-24,681.1140747070312,462.50909423828125
2020-11-25,664.3489990234375,457.1896057128906
2020-11-26,675.64404296875,459.7042541503906
2020-11-27,682.3690185546875,457.8182373046875
2020-12-01,678.79345703125,469.18267822265625
2020-12-02,666.3143310546875,464.6852722167969
2020-12-03,652.2251586914062,466.0393371582031
2020-12-04,656.2032470703125,485.5765075683594
2020-12-07,649.880859375,493.70086669921875
2020-12-08,651.7988891601562,491.7181396484375
2020-12-09,666.4327392578125,494.7164306640625
2020-12-10,656.3215942382812,490.31573486328125
2020-12-11,654.8773193359375,498.53680419921875
2020-12-14,649.8335571289062,508.5472106933594
2020-12-15,658.9027709960938,501.051513671875
2020-12-16,668.09033203125,495.6352844238281
2020-12-17,682.8189086914062,493.6524963378906
2020-12-18,668.398193359375,500.1810607910156
2020-12-21,650.0703735351562,478.2742614746094
2020-12-22,650.2833862304688,483.8839111328125
2020-12-23,651.4911499023438,487.0756530761719
2020-12-24,661.6495361328125,496.69915771484375
2020-12-28,669.1085205078125,503.0342102050781
2020-12-29,675.904541015625,511.44873046875
2020-12-30,678.41455078125,511.4004211425781
2020-12-31,680.2141723632812,517.4937133789062
2021-01-01,674.8863525390625,510.1914367675781
2021-01-04,670.6004028320312,514.253662109375
2021-01-05,675.6676635742188,519.62158203125
2021-01-06,672.7551879882812,528.761474609375
2021-01-07,670.71875,523.34521484375
2021-01-08,678.0120849609375,524.2639770507812
2021-01-11,687.3889770507812,526.8270263671875
2021-01-12,701.383544921875,530.018798828125
2021-01-13,696.48193359375,538.2399291992188
2021-01-14,695.58203125,535.1448364257812
2021-01-15,694.587646484375,525.1829223632812
2021-01-18,702.3780517578125,515.6561279296875
2021-01-19,712.2050170898438,528.5197143554688
2021-01-20,706.5930786132812,532.9203491210938
2021-01-21,698.4473266601562,534.5645751953125
2021-01-22,683.647705078125,516.2847290039062
2021-01-25,692.7879028320312,520.395263671875
2021-01-27,667.5693969726562,505.21038818359375
2021-01-28,649.5020751953125,510.91680908203125
2021-01-29,658.5238647460938,519.3796997070312
2021-02-01,699.370849609375,583.98779296875
2021-02-02,739.0574340820312,597.0932006835938
2021-02-03,745.80615234375,601.92919921875
2021-02-04,747.842529296875,607.6839599609375
2021-02-05,756.6038818359375,593.9982299804688
2021-02-08,760.2268676757812,608.9412841796875
2021-02-09,763.3524780273438,612.5682373046875
2021-02-10,749.0974731445312,611.4075927734375
2021-02-11,744.6458129882812,609.956787109375
2021-02-12,749.1922607421875,626.3506469726562
2021-02-15,765.6019897460938,651.8360595703125
2021-02-16,770.3616333007812,636.7479248046875
2021-02-17,751.3470458984375,635.7807006835938
2021-02-18,736.0975952148438,623.4974975585938
2021-02-19,728.8989868164062,603.5734252929688
2021-02-22,733.1139526367188,589.8392944335938
2021-02-23,724.1868286132812,596.0776977539062
2021-02-24,760.795166015625,620.0639038085938
2021-02-25,760.771484375,607.393798828125
2021-02-26,726.673095703125,578.1363525390625
2021-03-01,738.2760009765625,588.3885498046875
2021-03-02,742.680419921875,590.468017578125
2021-03-03,751.5128173828125,611.3592529296875
2021-03-04,735.0319213867188,600.3816528320312
2021-03-05,724.58935546875,589.4524536132812
2021-03-08,719.61669921875,588.0984497070312
2021-03-09,739.98095703125,604.5889282226562
2021-03-10,736.7842407226562,605.072509765625
2021-03-12,734.9844970703125,592.7409057617188
2021-03-15,723.9500122070312,583.6976928710938
2021-03-16,716.1358642578125,575.42822265625
2021-03-17,708.1795043945312,570.1570434570312
2021-03-18,706.1194458007812,559.6146850585938
